n,p,device,repetition,random_state,timestamp,algorithm,computation_time,motifs,processor
500,0.35000000000000003,GPU,4,71070,2025-08-21 18:01:50.849172,gpu,0.007,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Apple M3 Max
500,0.35000000000000003,CPU,0,71070,2025-08-21 18:02:42.805336,matmul,0.009,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Apple M3 Max
500,0.35000000000000003,CPU,1,71070,2025-08-21 18:03:34.321888,matmul,0.009,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Apple M3 Max
500,0.35000000000000003,CPU,2,71070,2025-08-21 18:02:01.689756,matmul,0.009,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Apple M3 Max
500,0.35000000000000003,CPU,3,71070,2025-08-21 18:03:16.676203,matmul,0.009,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Apple M3 Max
500,0.35000000000000003,CPU,4,71070,2025-08-21 18:01:50.837547,matmul,0.008,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Apple M3 Max
500,0.4,GPU,0,71070,2025-08-21 18:02:40.578360,gpu,0.017,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Apple M3 Max
500,0.4,GPU,1,71070,2025-08-21 18:02:42.817982,gpu,0.017,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Apple M3 Max
500,0.4,GPU,2,71070,2025-08-21 18:03:07.623950,gpu,0.006,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Apple M3 Max
500,0.4,GPU,3,71070,2025-08-21 18:03:45.103770,gpu,0.006,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Apple M3 Max
