n,p,device,repetition,random_state,timestamp,algorithm,computation_time,motifs,processor
500,0.25,CPU,1,71070,2025-08-21 14:32:39.687418,matmul,0.079,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.25,CPU,2,71070,2025-08-21 14:21:17.567573,matmul,0.072,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.25,CPU,3,71070,2025-08-21 14:36:51.402294,matmul,0.068,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.25,CPU,4,71070,2025-08-21 14:31:23.717908,matmul,0.069,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.30000000000000004,GPU,0,71070,2025-08-21 14:32:05.618963,gpu,0.005,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Tesla T4
500,0.30000000000000004,GPU,1,71070,2025-08-21 14:32:05.608504,gpu,0.006,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Tesla T4
500,0.30000000000000004,GPU,2,71070,2025-08-21 14:22:11.645874,gpu,0.006,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Tesla T4
500,0.30000000000000004,GPU,3,71070,2025-08-21 14:36:51.394550,gpu,0.003,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Tesla T4
500,0.30000000000000004,GPU,4,71070,2025-08-21 14:33:38.982007,gpu,0.005,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Tesla T4
500,0.30000000000000004,CPU,0,71070,2025-08-21 14:19:20.891962,matmul,0.081,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.30000000000000004,CPU,1,71070,2025-08-21 14:35:15.542076,matmul,0.067,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.30000000000000004,CPU,2,71070,2025-08-21 14:36:36.467831,matmul,0.064,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.30000000000000004,CPU,3,71070,2025-08-21 14:31:18.897482,matmul,0.08,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.30000000000000004,CPU,4,71070,2025-08-21 14:35:48.888695,matmul,0.064,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.35000000000000003,GPU,0,71070,2025-08-21 14:30:51.903695,gpu,0.007,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Tesla T4
500,0.35000000000000003,GPU,1,71070,2025-08-21 14:30:40.111702,gpu,0.006,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Tesla T4
500,0.35000000000000003,GPU,2,71070,2025-08-21 14:22:41.465266,gpu,0.004,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Tesla T4
500,0.35000000000000003,GPU,3,71070,2025-08-21 14:24:06.540700,gpu,0.004,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Tesla T4
500,0.35000000000000003,GPU,4,71070,2025-08-21 14:31:41.016957,gpu,0.003,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Tesla T4
500,0.35000000000000003,CPU,0,71070,2025-08-21 14:25:56.205325,matmul,0.062,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.35000000000000003,CPU,1,71070,2025-08-21 14:33:47.866910,matmul,0.08,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.35000000000000003,CPU,2,71070,2025-08-21 14:22:11.528488,matmul,0.107,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.35000000000000003,CPU,3,71070,2025-08-21 14:31:23.118563,matmul,0.064,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.35000000000000003,CPU,4,71070,2025-08-21 14:25:38.414598,matmul,0.066,[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136  477513  398222  778468  389372  388707  422667   38527],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.4,GPU,0,71070,2025-08-21 14:27:50.097966,gpu,0.006,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Tesla T4
500,0.4,GPU,1,71070,2025-08-21 14:31:23.707730,gpu,0.006,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Tesla T4
500,0.4,GPU,2,71070,2025-08-21 14:26:23.333443,gpu,0.003,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Tesla T4
500,0.4,GPU,3,71070,2025-08-21 14:22:42.066981,gpu,0.004,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Tesla T4
500,0.4,GPU,4,71070,2025-08-21 14:22:15.081357,gpu,0.003,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Tesla T4
500,0.4,CPU,0,71070,2025-08-21 14:17:42.233124,matmul,0.068,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.4,CPU,1,71070,2025-08-21 14:31:06.402086,matmul,0.103,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.4,CPU,2,71070,2025-08-21 14:36:51.475410,matmul,0.064,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.4,CPU,3,71070,2025-08-21 14:32:29.420687,matmul,0.065,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.4,CPU,4,71070,2025-08-21 14:36:37.110568,matmul,0.064,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Intel(R) Xeon(R) CPU @ 2.00GHz
1000,0.05,GPU,0,71070,2025-08-21 14:31:07.150838,gpu,0.027,[122228208  38513072   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Tesla T4
1000,0.05,GPU,1,71070,2025-08-21 14:20:49.972306,gpu,0.028,[122228208  38513072   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Tesla T4
1000,0.05,GPU,2,71070,2025-08-21 14:23:39.910087,gpu,0.016,[122228208  38513072   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Tesla T4
1000,0.05,GPU,3,71070,2025-08-21 14:29:21.423938,gpu,0.014,[122228208  38513072   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Tesla T4
1000,0.05,GPU,4,71070,2025-08-21 14:22:44.745406,gpu,0.028,[122228208  38513072   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Tesla T4
1000,0.05,CPU,0,71070,2025-08-21 14:37:52.298193,matmul,0.511,[122228216  38513068   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Intel(R) Xeon(R) CPU @ 2.00GHz
1000,0.05,CPU,1,71070,2025-08-21 14:24:19.985448,matmul,0.605,[122228216  38513068   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Intel(R) Xeon(R) CPU @ 2.00GHz
1000,0.05,CPU,2,71070,2025-08-21 14:34:26.772888,matmul,0.798,[122228216  38513068   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Intel(R) Xeon(R) CPU @ 2.00GHz
1000,0.05,CPU,3,71070,2025-08-21 14:24:06.715904,matmul,0.783,[122228216  38513068   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Intel(R) Xeon(R) CPU @ 2.00GHz
1000,0.05,CPU,4,71070,2025-08-21 14:30:51.131658,matmul,0.759,[122228216  38513068   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Intel(R) Xeon(R) CPU @ 2.00GHz
1000,0.1,GPU,0,71070,2025-08-21 14:32:58.965805,gpu,0.029,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Tesla T4
1000,0.1,GPU,1,71070,2025-08-21 14:24:55.013705,gpu,0.016,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Tesla T4
