n,p,device,repetition,random_state,timestamp,computation_time,motifs
1000,0.15000000000000002,/CPU:0,2,71070,2022-05-08 12:05:19.945025,1.942,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.15000000000000002,/CPU:0,3,71070,2022-05-08 12:00:37.880104,1.907,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.15000000000000002,/CPU:0,4,71070,2022-05-08 11:14:29.044889,2.06,"[62720488 66408909  5802212 11710158  5852930  5858252  2066411  2044398
  2046224   689258   179338   361618   180991   180772    63272     1769]"
1000,0.2,/GPU:0,0,71070,2022-05-08 11:45:52.408141,0.07,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/GPU:0,1,71070,2022-05-08 11:11:18.658557,0.103,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/GPU:0,2,71070,2022-05-08 11:11:18.784379,0.097,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/GPU:0,3,71070,2022-05-08 12:03:34.841380,0.102,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/GPU:0,4,71070,2022-05-08 11:42:03.079362,0.104,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/CPU:0,0,71070,2022-05-08 12:01:18.820408,2.033,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/CPU:0,1,71070,2022-05-08 11:14:26.953371,2.069,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/CPU:0,2,71070,2022-05-08 11:18:52.987568,1.995,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/CPU:0,3,71070,2022-05-08 11:43:19.288599,2.089,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.2,/CPU:0,4,71070,2022-05-08 11:24:10.178697,2.045,"[43558520 65339423  8180426 16321692  8161521  8164900  4078779  4087639
  4088359  1359865   513247  1023335   511865   510723   255985    10721]"
1000,0.25,/GPU:0,0,71070,2022-05-08 11:49:29.264384,0.104,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
1000,0.25,/GPU:0,1,71070,2022-05-08 12:12:14.014254,0.072,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
1000,0.25,/GPU:0,2,71070,2022-05-08 11:57:27.594846,0.102,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
1000,0.25,/GPU:0,3,71070,2022-05-08 11:42:16.807337,0.097,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
1000,0.25,/GPU:0,4,71070,2022-05-08 12:07:08.899997,0.104,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
1000,0.25,/CPU:0,0,71070,2022-05-08 12:23:57.963298,1.977,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
1000,0.25,/CPU:0,1,71070,2022-05-08 12:07:00.285066,1.903,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
1000,0.25,/CPU:0,2,71070,2022-05-08 12:11:21.364944,2.052,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
1000,0.25,/CPU:0,3,71070,2022-05-08 12:12:49.679994,1.931,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
1000,0.25,/CPU:0,4,71070,2022-05-08 12:14:33.053106,1.993,"[29691216 59210118  9865450 19670683  9836142  9838823  6536187  6555125
  6559010  2179583  1095747  2180569  1090538  1090174   727605    40030]"
1000,0.30000000000000004,/GPU:0,0,71070,2022-05-08 11:58:22.626659,0.07,"[19586029 50337064 10753034 21547687 10775980 10778103  9227634  9206720
  9210112  3076673  1971279  3943965  1971844  1973380  1687753   119743]"
1000,0.30000000000000004,/GPU:0,1,71070,2022-05-08 11:50:59.831593,0.105,"[19586029 50337064 10753034 21547687 10775980 10778103  9227634  9206720
  9210112  3076673  1971279  3943965  1971844  1973380  1687753   119743]"
1000,0.30000000000000004,/GPU:0,2,71070,2022-05-08 11:42:06.053423,0.07,"[19586029 50337064 10753034 21547687 10775980 10778103  9227634  9206720
  9210112  3076673  1971279  3943965  1971844  1973380  1687753   119743]"
1000,0.30000000000000004,/GPU:0,3,71070,2022-05-08 12:08:17.551012,0.103,"[19586029 50337064 10753034 21547687 10775980 10778103  9227634  9206720
  9210112  3076673  1971279  3943965  1971844  1973380  1687753   119743]"
1000,0.30000000000000004,/GPU:0,4,71070,2022-05-08 11:42:07.140235,0.07,"[19586029 50337064 10753034 21547687 10775980 10778103  9227634  9206720
  9210112  3076673  1971279  3943965  1971844  1973380  1687753   119743]"
1000,0.30000000000000004,/CPU:0,0,71070,2022-05-08 11:15:08.946334,2.128,"[19586029 50337064 10753034 21547687 10775980 10778103  9227634  9206720
  9210112  3076673  1971279  3943965  1971844  1973380  1687753   119743]"
1000,0.30000000000000004,/CPU:0,1,71070,2022-05-08 11:31:19.437403,2.045,"[19586029 50337064 10753034 21547687 10775980 10778103  9227634  9206720
  9210112  3076673  1971279  3943965  1971844  1973380  1687753   119743]"
1000,0.30000000000000004,/CPU:0,2,71070,2022-05-08 11:19:11.437056,2.067,"[19586029 50337064 10753034 21547687 10775980 10778103  9227634  9206720
  9210112  3076673  1971279  3943965  1971844  1973380  1687753   119743]"
